file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\server\sonar-db-dao\src\it\java\org\sonar\db\component\ComponentKeyUpdaterDaoIT.java,org.sonar.db.component.ComponentKeyUpdaterDaoIT,class,12,13,1,12,9,1,0,59,0,0.5370371,0.0,0.0,9,0,0,1,0,8,8,0,0,0,6,0,0,6,0,0,6,0,0,96,1,0,0,0,0,65,11,35,3,48,0,0,0,15,109,0,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\server\sonar-webserver-webapi\src\it\java\org\sonar\server\measure\live\LiveMeasureComputerImplIT.java,org.sonar.server.measure.live.LiveMeasureComputerImplIT$FakeLiveMeasureTreeUpdater,innerclass,7,7,0,7,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,1,1,0,1,0,0,0,0,18,2,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\sonar-ws\src\main\java\org\sonarqube\ws\client\issues\EditCommentRequest.java,org.sonarqube.ws.client.issues.EditCommentRequest,class,2,4,2,2,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,18,4,0,0,0,0,1,0,2,0,2,0,0,0,0,41,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\server\sonar-webserver-auth\src\test\java\org\sonar\server\authentication\SamlValidationCspHeadersTest.java,org.sonar.server.authentication.SamlValidationCspHeadersTest,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,9,0,2,3,2,0,0,0,0,26,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\server\sonar-webserver-webapi\src\main\java\org\sonar\server\qualitygate\ws\SearchQualityGateUsersRequest.java,org.sonar.server.qualitygate.ws.SearchQualityGateUsersRequest,class,3,6,3,3,3,3,0,4,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,26,2,0,0,0,0,0,0,5,0,1,0,0,1,0,9,0,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\sonar-core\src\test\java\org\sonar\core\util\NonNullInputFunctionTest.java,org.sonar.core.util.NonNullInputFunctionTest,class,3,3,0,3,3,2,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,20,0,0,0,1,0,2,1,1,0,1,1,0,1,0,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\sonar-core\src\test\java\org\sonar\core\language\LanguagesProviderTest.java,org.sonar.core.language.LanguagesProviderTest,class,4,4,0,4,2,1,0,14,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,2,1,7,0,7,0,0,0,0,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\server\sonar-webserver-common\src\main\java\org\sonar\server\common\text\MacroInterpreter.java,org.sonar.server.common.text.MacroInterpreter,class,4,5,1,4,3,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,13,1,1,0,0,0,0,0,3,0,2,1,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\server\sonar-webserver-ws\src\main\java\org\sonar\server\ws\ServletResponse.java,org.sonar.server.ws.ServletResponse,class,10,12,2,10,8,1,0,9,0,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,71,7,0,0,0,1,0,1,2,0,2,0,0,1,0,29,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sonarqube\server\sonar-db-migration\src\main\java\org\sonar\server\platform\db\migration\version\v202503\CreateIndexOnScaIssuesReleaseChangesReleaseId.java,org.sonar.server.platform.db.migration.version.v202503.CreateIndexOnScaIssuesReleaseChangesReleaseId,class,5,7,2,5,4,2,0,11,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,3,3,0,0,0,3,3,0,0,18,0,0,0,1,0,3,0,4,0,4,1,0,0,0,39,1,0
