file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\spring-ai-alibaba-studio\spring-ai-alibaba-studio-server\spring-ai-alibaba-studio-server-core\src\main\java\com\alibaba\cloud\ai\studio\core\workflow\processor\impl\JudgeExecuteProcessor.java,com.alibaba.cloud.ai.studio.core.workflow.processor.impl.JudgeExecuteProcessor$NodeParam,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,9,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\community\document-parsers\spring-ai-alibaba-starter-document-parser-directory\src\test\java\com\alibaba\cloud\ai\parser\directory\DocumentDirectoryParserTest.java,com.alibaba.cloud.ai.parser.directory.DocumentDirectoryParserTest,class,5,5,0,5,8,1,0,8,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,0,0,0,7,0,12,0,12,1,0,0,0,20,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\community\document-readers\spring-ai-alibaba-starter-document-reader-sqlite\src\main\java\com\alibaba\cloud\ai\reader\sqlite\SQLiteResource.java,com.alibaba.cloud.ai.reader.sqlite.SQLiteResource,class,0,2,2,0,12,1,0,1,12,0.775641,0.0,0.0,12,0,12,0,0,0,12,0,0,0,13,5,5,8,0,0,13,0,1,58,9,0,0,0,0,5,1,13,0,13,0,0,0,0,63,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\spring-ai-alibaba-studio\spring-ai-alibaba-studio-server\spring-ai-alibaba-studio-server-runtime\src\main\java\com\alibaba\cloud\ai\studio\runtime\domain\workflow\Edge.java,com.alibaba.cloud.ai.studio.runtime.domain.workflow.Edge,class,2,8,6,2,2,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,0,15,1,0,0,1,0,2,0,0,0,5,1,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\spring-ai-alibaba-studio\spring-ai-alibaba-studio-client\src\main\java\com\alibaba\cloud\ai\model\ChatClient.java,com.alibaba.cloud.ai.model.ChatClient$ChatClientBuilder,innerclass,5,5,0,5,10,1,0,6,31,0.8000001,0.0,0.0,10,1,9,1,0,0,9,0,0,0,7,0,0,7,0,0,0,0,0,53,9,0,0,0,0,0,0,9,0,8,0,0,0,0,19,25,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\spring-ai-alibaba-deepresearch\src\main\java\com\alibaba\cloud\ai\example\deepresearch\util\TemplateUtil.java,com.alibaba.cloud.ai.example.deepresearch.util.TemplateUtil,class,6,6,0,6,4,1,0,15,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,25,3,0,1,0,0,10,0,13,3,13,0,0,0,1,44,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\spring-ai-alibaba-graph-core\src\main\java\com\alibaba\cloud\ai\graph\store\NamespaceListRequest.java,com.alibaba.cloud.ai.graph.store.NamespaceListRequest,class,1,15,14,1,12,1,0,2,31,0.72727275,0.0,0.0,11,1,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,4,64,6,0,1,0,0,5,5,8,2,4,0,0,1,0,67,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\spring-ai-alibaba-nl2sql\spring-ai-alibaba-nl2sql-chat\src\main\java\com\alibaba\cloud\ai\util\AiConfiguration.java,com.alibaba.cloud.ai.util.AiConfiguration,class,17,17,0,17,7,1,0,13,4,0.65625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,8,0,0,8,0,0,0,0,0,38,4,0,0,0,0,15,1,7,0,15,1,0,0,0,63,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\community\document-readers\spring-ai-alibaba-starter-document-reader-email\src\main\java\com\alibaba\cloud\ai\reader\email\eml\EmlEmailDocumentReader.java,com.alibaba.cloud.ai.reader.email.eml.EmlEmailDocumentReader,class,19,21,2,19,28,1,0,36,3,0.6666666,0.0,0.0,6,0,4,2,0,0,4,0,0,0,8,2,1,7,0,0,8,0,1,121,1,3,3,2,3,20,1,33,1,31,4,0,0,0,131,1,1
D:\laboratorio-02-repositorios-java\.\repositories\spring-ai-alibaba\spring-ai-alibaba-jmanus\src\main\java\com\alibaba\cloud\ai\manus\planning\service\IPlanParameterMappingService.java,com.alibaba.cloud.ai.manus.planning.service.IPlanParameterMappingService,interface,1,8,7,1,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0
