file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-test\src\main\java\cn\javastack\springboot\test\service\UserService.java,cn.javastack.springboot.test.service.UserService,countAllUsers/0,false,8,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-web\src\main\java\cn\javastack\springboot\web\servlet\RegisterServlet.java,cn.javastack.springboot.web.servlet.RegisterServlet,"service/2[cn.javastack.springboot.web.servlet.HttpServletRequest,cn.javastack.springboot.web.servlet.HttpServletResponse]",false,15,2,0,0,0,1,4,6,0,2,2,4,0,0,0,0,0,0,4,0,2,2,0,0,0,0,13,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,"setOperations/1[cn.javastack.springboot.redis.config.RedisTemplate<java.lang.String,java.lang.Object>]",false,64,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,"hashOperations/1[cn.javastack.springboot.redis.config.RedisTemplate<java.lang.String,java.lang.Object>]",false,49,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,redisLockRegistry/1[cn.javastack.springboot.redis.config.RedisConnectionFactory],false,74,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,"listOperations/1[cn.javastack.springboot.redis.config.RedisTemplate<java.lang.String,java.lang.Object>]",false,59,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,"zSetOperations/1[cn.javastack.springboot.redis.config.RedisTemplate<java.lang.String,java.lang.Object>]",false,69,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,"valueOperations/1[cn.javastack.springboot.redis.config.RedisTemplate<java.lang.String,java.lang.Object>]",false,54,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,getJacksonSerializer/0,false,40,3,1,1,0,1,2,6,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,redisTemplate/1[cn.javastack.springboot.redis.config.RedisConnectionFactory],false,23,6,1,0,1,1,8,13,1,3,1,8,1,1,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,false
