file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-jaxrs2\src\test\java\io\swagger\v3\jaxrs2\annotations\examples\ExamplesTest.java,io.swagger.v3.jaxrs2.annotations.examples.ExamplesTest$ResponseExampleSchemaImplementation,subscribe/0,false,110,9,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,28,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-jaxrs2\src\test\java\io\swagger\v3\jaxrs2\annotations\parameters\ParametersTest.java,io.swagger.v3.jaxrs2.annotations.parameters.ParametersTest$SimpleOperations,subscribe/0,false,340,10,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,25,4,0,1,0,0,0,0,33,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-core\src\test\java\io\swagger\v3\core\converting\ByteConverterTest.java,io.swagger.v3.core.converting.ByteConverterTest,testByteProperty/0,false,41,4,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,9,0,1,1,0,0,0,0,13,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-core\src\test\java\io\swagger\v3\core\converting\ByteConverterTest.java,io.swagger.v3.core.converting.ByteConverterTest,testReadOnlyByteArray/0,false,90,5,1,0,1,1,5,4,0,1,0,5,0,0,0,0,0,0,13,0,1,1,0,0,0,0,16,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-core\src\test\java\io\swagger\v3\core\converting\ByteConverterTest.java,io.swagger.v3.core.converting.ByteConverterTest,testByteArray/0,false,72,5,1,0,1,1,4,4,0,1,0,4,0,0,0,0,0,0,12,0,1,1,0,0,0,0,13,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-core\src\test\java\io\swagger\v3\core\converting\ByteConverterTest.java,io.swagger.v3.core.converting.ByteConverterTest,testDeserializeByteProperty/0,false,56,3,1,0,1,1,3,5,0,2,0,3,0,0,0,0,0,0,8,0,2,1,0,0,0,0,11,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-core\src\test\java\io\swagger\v3\core\converting\ByteConverterTest.java,io.swagger.v3.core.converting.ByteConverterTest,testByte/0,false,21,5,3,0,3,1,3,5,0,2,0,3,0,0,0,0,0,0,14,0,2,1,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-jaxrs2\src\test\java\io\swagger\v3\jaxrs2\petstore\operation\ServerOperationResource.java,io.swagger.v3.jaxrs2.petstore.operation.ServerOperationResource,getPet/0,false,27,5,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\util\Yaml.java,io.swagger.v3.core.util.Yaml,pretty/0,false,17,3,4,3,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\swagger-core\modules\swagger-core\src\main\java\io\swagger\v3\core\util\Yaml.java,io.swagger.v3.core.util.Yaml,mapper/0,false,13,1,33,33,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
