file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src\test\java\io\vavr\collection\euler\Euler04Test.java,io.vavr.collection.euler.Euler04Test,"largestPalindromeOfProductsFromFactorsInRange/2[int,int]",false,44,5,8,1,7,2,7,3,1,2,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10,10,0,false
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src\test\java\io\vavr\collection\euler\Euler04Test.java,io.vavr.collection.euler.Euler04Test,shouldSolveProblem4/0,false,39,2,1,0,1,1,3,4,0,0,0,3,1,1,0,0,0,0,0,6,0,0,0,0,0,0,39,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src\test\java\io\vavr\collection\IntMultimap.java,io.vavr.collection.IntMultimap$1SpliteratorProxy,estimateSize/0,false,331,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src\test\java\io\vavr\collection\IntMultimap.java,io.vavr.collection.IntMultimap$1SpliteratorProxy,"SpliteratorProxy/1[java.util.Spliterator<io.vavr.Tuple2<java.lang.Integer,T>>]",true,316,2,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src\test\java\io\vavr\collection\IntMultimap.java,io.vavr.collection.IntMultimap$1SpliteratorProxy,characteristics/0,false,336,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src\test\java\io\vavr\collection\IntMultimap.java,io.vavr.collection.IntMultimap$1SpliteratorProxy,trySplit/0,false,326,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src\test\java\io\vavr\collection\IntMultimap.java,io.vavr.collection.IntMultimap$1SpliteratorProxy,tryAdvance/1[java.util.function.Consumer<? super T>],false,321,0,0,0,0,1,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src\test\java\io\vavr\collection\IntMultimap.java,io.vavr.collection.IntMultimap$1SpliteratorProxy,getComparator/0,false,341,0,0,0,0,2,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src-gen\main\java\io\vavr\API.java,io.vavr.API$For2List,"For2List/2[io.vavr.collection.List<T1>,io.vavr.collection.List<T2>]",true,4887,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\vavr\vavr\src-gen\main\java\io\vavr\API.java,io.vavr.API$For2List,"yield/1[java.util.function.BiFunction<? super T1,? super T2,? extends R>]",false,4899,2,2,0,2,1,4,4,1,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,26,1,0,true
