file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\perf-test\src\main\java\wiremock\LoadTestConfiguration.java,wiremock.LoadTestConfiguration$Anonymous2,run/0,false,133,0,0,0,0,2,6,6,0,0,0,6,0,0,0,1,0,0,2,4,0,3,1,0,0,0,8,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\direct\DirectCallHttpServerTest.java,com.github.tomakehurst.wiremock.direct.DirectCallHttpServerTest$Port,isInvalidPortNumber/0,false,94,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\perf-test\src\main\java\wiremock\LoadTestConfiguration.java,wiremock.LoadTestConfiguration$Anonymous1,run/0,false,95,0,0,0,0,2,6,6,0,0,0,6,0,0,0,1,0,0,2,4,0,3,1,0,0,0,8,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\matching\RequestPatternTest.java,com.github.tomakehurst.wiremock.matching.RequestPatternTest$Anonymous1,describeTo/1[Description],false,691,1,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,11,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\matching\RequestPatternTest.java,com.github.tomakehurst.wiremock.matching.RequestPatternTest$Anonymous1,"matchesSafely/2[ContentPattern<?>,Description]",false,686,2,0,0,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\wiremock-common\src\main\java\com\github\tomakehurst\wiremock\extension\Extension.java,com.github.tomakehurst.wiremock.extension.Extension,start/0,false,22,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\wiremock-common\src\main\java\com\github\tomakehurst\wiremock\extension\Extension.java,com.github.tomakehurst.wiremock.extension.Extension,stop/0,false,24,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\wiremock-common\src\main\java\com\github\tomakehurst\wiremock\extension\Extension.java,com.github.tomakehurst.wiremock.extension.Extension,getName/0,false,20,0,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\wiremock-common\src\main\java\com\github\tomakehurst\wiremock\common\url\PathTemplate.java,com.github.tomakehurst.wiremock.common.url.RendererBuilder$1Static,apply/1[com.github.tomakehurst.wiremock.common.url.PathParams],false,203,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,configureWithMultipleMappingFile/0,false,64,2,5,3,2,1,6,5,0,0,0,6,1,1,0,0,0,0,3,0,1,0,0,0,0,0,10,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,stubMappingFilesAreWrittenWithInsertionIndex/0,false,104,5,0,0,0,1,11,8,0,4,0,11,0,0,0,0,0,0,2,1,4,0,0,0,0,0,26,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,removesStubMappingOriginallyLoadedFromSingleMappingFile/0,false,201,3,1,0,1,1,8,6,0,1,0,8,1,2,0,0,0,0,0,1,1,0,0,0,0,0,15,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,savesStubMappingOriginallyLoadedFromSingleMappingFile/0,false,190,3,1,0,1,1,9,7,0,1,0,9,1,2,0,0,0,0,2,1,1,0,0,0,0,0,14,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,refusesToRemoveStubMappingContainedInMultiFile/0,false,133,4,1,0,1,2,11,13,0,1,0,11,1,2,0,0,1,0,2,1,1,0,1,0,0,0,33,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,refusesToSaveStubMappingOriginallyLoadedFromMultiMappingFile/0,false,171,4,1,0,1,2,10,13,0,1,0,10,1,2,0,0,1,0,2,1,1,0,1,0,0,0,34,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,canSetAllStubFilesInSource/0,false,211,3,1,0,1,1,25,19,0,8,0,25,1,1,0,0,0,0,17,0,8,3,0,0,0,0,27,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,init/0,false,60,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wiremock\src\test\java\com\github\tomakehurst\wiremock\standalone\JsonFileMappingsSourceTest.java,com.github.tomakehurst.wiremock.standalone.JsonFileMappingsSourceTest,loadsMappingsViaClasspathFileSource/0,false,88,7,0,0,0,1,10,10,0,5,0,10,0,0,0,0,0,0,3,3,5,0,0,0,0,0,25,0,0,false
