file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\ext\InternalCacheDataStore.java,io.xpipe.app.ext.InternalCacheDataStore,interface,2,4,2,2,3,1,0,4,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListComp.java,io.xpipe.app.browser.file.BrowserFileListComp$FileOwnerCell,innerclass,1,1,0,1,5,2,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,1,0,0,0,14,10,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\menu\FileTypeMenuProvider.java,io.xpipe.app.browser.menu.FileTypeMenuProvider,interface,8,11,3,8,3,1,0,6,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,1,0,2,0,0,0,1,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\util\LocalExec.java,io.xpipe.app.util.LocalExec,class,2,4,2,2,3,1,0,16,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,25,3,0,1,1,0,12,1,5,0,5,2,0,0,0,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\menu\impl\compress\CompressMenuProvider.java,io.xpipe.app.browser.menu.impl.compress.CompressMenuProvider$BranchProvider$Anonymous3,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListNameCell.java,io.xpipe.app.browser.file.BrowserFileListNameCell,class,25,26,1,25,31,2,0,76,0,0.4666667,0.0,0.0,5,0,1,3,1,0,2,0,0,0,6,0,0,6,0,0,6,0,1,155,10,0,16,1,0,6,10,31,2,43,4,0,0,14,98,0,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\hub\action\impl\SampleHubLeafProvider.java,io.xpipe.app.hub.action.impl.SampleHubLeafProvider$Action,innerclass,4,4,0,4,1,4,0,25,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,5,0,7,0,9,0,11,3,0,0,2,22,9,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\util\SecretQueryFilter.java,io.xpipe.app.util.SecretQueryFilter,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\terminal\ExternalTerminalType.java,io.xpipe.app.terminal.ExternalTerminalType$Anonymous13,anonymous,4,4,0,4,7,1,0,7,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,20,6,0,1,0,0,2,1,0,0,0,0,0,0,0,25,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\terminal\ExternalTerminalType.java,io.xpipe.app.terminal.ExternalTerminalType$Anonymous12,anonymous,3,3,0,3,6,1,0,7,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,20,6,0,0,0,0,3,0,0,0,0,0,0,0,0,21,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\terminal\ExternalTerminalType.java,io.xpipe.app.terminal.ExternalTerminalType$Anonymous14,anonymous,5,5,0,5,8,1,0,8,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3,20,6,0,2,0,0,2,2,0,0,0,0,0,0,0,22,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\menu\impl\compress\CompressMenuProvider.java,io.xpipe.app.browser.menu.impl.compress.CompressMenuProvider$BranchProvider$Anonymous4,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,0
