file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\ext\InternalCacheDataStore.java,io.xpipe.app.ext.InternalCacheDataStore,"getCache/3[java.lang.String,java.lang.Class<T>,T]",false,7,1,0,0,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\ext\InternalCacheDataStore.java,io.xpipe.app.ext.InternalCacheDataStore,canCacheToStorage/0,false,15,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\ext\InternalCacheDataStore.java,io.xpipe.app.ext.InternalCacheDataStore,"setCache/2[java.lang.String,java.lang.Object]",false,11,0,4,4,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListComp.java,io.xpipe.app.browser.file.BrowserFileListComp$FileOwnerCell,FileOwnerCell/0,true,709,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListComp.java,io.xpipe.app.browser.file.BrowserFileListComp$FileOwnerCell,"updateItem/2[java.lang.String,boolean]",false,714,0,0,0,0,4,4,9,0,0,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,10,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\menu\FileTypeMenuProvider.java,io.xpipe.app.browser.menu.FileTypeMenuProvider,"getIcon/2[io.xpipe.app.browser.file.BrowserFileSystemTabModel,java.util.List<io.xpipe.app.browser.file.BrowserEntry>]",false,14,6,2,0,2,1,2,3,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\menu\FileTypeMenuProvider.java,io.xpipe.app.browser.menu.FileTypeMenuProvider,"isApplicable/2[io.xpipe.app.browser.file.BrowserFileSystemTabModel,java.util.List<io.xpipe.app.browser.file.BrowserEntry>]",false,19,4,2,0,2,1,5,4,1,2,2,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,13,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\menu\FileTypeMenuProvider.java,io.xpipe.app.browser.menu.FileTypeMenuProvider,getType/0,false,24,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\util\LocalExec.java,io.xpipe.app.util.LocalExec,readStdoutIfPossible/1[java.lang.String[]],false,10,2,4,3,1,3,16,23,3,5,1,16,0,0,0,1,1,0,12,1,5,0,2,0,0,0,16,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\menu\impl\compress\CompressMenuProvider.java,io.xpipe.app.browser.menu.impl.compress.CompressMenuProvider$BranchProvider$Anonymous3,getExtension/0,false,163,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListNameCell.java,io.xpipe.app.browser.file.BrowserFileListNameCell,"updateItem/2[java.lang.String,boolean]",false,198,1,0,0,0,6,19,24,1,5,2,19,0,0,0,4,1,0,4,2,5,1,2,0,0,0,25,4,0,false
