file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\activemq\ZipkinActiveMQCollectorPropertiesOverrideTest.java,zipkin2.collector.activemq.ZipkinActiveMQCollectorPropertiesOverrideTest,data/0,false,30,1,2,0,2,1,7,3,1,6,0,7,0,0,0,0,0,0,11,1,0,0,0,0,0,6,3,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\activemq\ZipkinActiveMQCollectorPropertiesOverrideTest.java,zipkin2.collector.activemq.ZipkinActiveMQCollectorPropertiesOverrideTest,"propertyTransferredToCollectorBuilder/3[java.lang.String,java.lang.Object,java.util.function.Function<zipkin2.collector.activemq.ActiveMQCollector.Builder,java.lang.Object>]",false,51,5,3,0,3,4,10,17,0,0,3,10,1,1,0,0,0,0,10,0,0,1,1,0,0,0,20,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\activemq\ZipkinActiveMQCollectorPropertiesOverrideTest.java,zipkin2.collector.activemq.ZipkinActiveMQCollectorPropertiesOverrideTest,close/0,false,22,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\activemq\ZipkinActiveMQCollectorPropertiesOverrideTest.java,zipkin2.collector.activemq.ZipkinActiveMQCollectorPropertiesOverrideTest,"initZipkinActiveMQCollectorPropertiesOverrideTest/3[java.lang.String,java.lang.Object,java.util.function.Function<zipkin2.collector.activemq.ActiveMQCollector.Builder,java.lang.Object>]",false,77,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\activemq\ZipkinActiveMQCollectorPropertiesOverrideTest.java,zipkin2.collector.activemq.ZipkinActiveMQCollectorPropertiesOverrideTest,"parameters/3[java.lang.String,T,java.util.function.Function<zipkin2.collector.activemq.ActiveMQCollector.Builder,T>]",false,44,2,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,8,0,true
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\kafka\ZipkinKafkaCollectorPropertiesOverrideTest.java,zipkin2.collector.kafka.ZipkinKafkaCollectorPropertiesOverrideTest,data/0,false,30,1,2,0,2,1,4,3,1,5,0,4,0,0,0,0,0,0,12,1,0,0,0,0,0,5,2,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\kafka\ZipkinKafkaCollectorPropertiesOverrideTest.java,zipkin2.collector.kafka.ZipkinKafkaCollectorPropertiesOverrideTest,"initZipkinKafkaCollectorPropertiesOverrideTest/3[java.lang.String,java.lang.Object,java.util.function.Function<zipkin2.collector.kafka.KafkaCollector.Builder,java.lang.Object>]",false,66,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\kafka\ZipkinKafkaCollectorPropertiesOverrideTest.java,zipkin2.collector.kafka.ZipkinKafkaCollectorPropertiesOverrideTest,close/0,false,22,1,0,0,0,2,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\kafka\ZipkinKafkaCollectorPropertiesOverrideTest.java,zipkin2.collector.kafka.ZipkinKafkaCollectorPropertiesOverrideTest,"parameters/3[java.lang.String,T,java.util.function.Function<zipkin2.collector.kafka.KafkaCollector.Builder,T>]",false,47,2,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,8,0,true
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\kafka\ZipkinKafkaCollectorPropertiesOverrideTest.java,zipkin2.collector.kafka.ZipkinKafkaCollectorPropertiesOverrideTest,"propertyTransferredToCollectorBuilder/3[java.lang.String,java.lang.Object,java.util.function.Function<zipkin2.collector.kafka.KafkaCollector.Builder,java.lang.Object>]",false,54,5,3,0,3,1,9,7,0,0,3,9,1,1,0,0,0,0,3,0,0,1,0,0,0,0,18,0,0,false
